overall,candidate,state,dem_pct,dem_win,dem_ev,total_ev,label
0.527,Warren,PA,0.5295932893942153,TRUE,20,308,Warren: 308 EV
0.527,Warren,RI,0.6039594278117555,TRUE,4,308,Warren: 308 EV
0.527,Warren,SC,0.4212366829306599,FALSE,0,308,Warren: 308 EV
0.527,Warren,SD,0.38264563114098915,FALSE,0,308,Warren: 308 EV
0.527,Warren,TN,0.38604668594962604,FALSE,0,308,Warren: 308 EV
0.527,Warren,TX,0.4394347039233764,FALSE,0,308,Warren: 308 EV
0.527,Warren,UT,0.4051886104364736,FALSE,0,308,Warren: 308 EV
0.527,Warren,VA,0.5429897934332963,TRUE,13,308,Warren: 308 EV
0.527,Warren,VT,0.6914722163045671,TRUE,3,308,Warren: 308 EV
0.527,Warren,WA,0.6184247311779966,TRUE,12,308,Warren: 308 EV
0.527,Warren,WI,0.5348294165462888,TRUE,10,308,Warren: 308 EV
0.527,Warren,WV,0.32279873378306345,FALSE,0,308,Warren: 308 EV
0.527,Warren,WY,0.27034689889101615,FALSE,0,308,Warren: 308 EV
0.528,Biden,AK,0.435579716545236,FALSE,0,303,Biden: 303 EV
0.528,Biden,AL,0.3223568406214791,FALSE,0,303,Biden: 303 EV
0.528,Biden,AR,0.38053522495069536,FALSE,0,303,Biden: 303 EV
0.528,Biden,AZ,0.48841509960806245,FALSE,0,303,Biden: 303 EV
0.528,Biden,CA,0.653527765479948,TRUE,55,303,Biden: 303 EV
0.528,Biden,CO,0.5602003962303587,TRUE,9,303,Biden: 303 EV
0.528,Biden,CT,0.60625932463084,TRUE,7,303,Biden: 303 EV
0.528,Biden,DC,0.9567256028140958,TRUE,3,303,Biden: 303 EV
0.528,Biden,DE,0.5937799201006967,TRUE,3,303,Biden: 303 EV
0.528,Biden,FL,0.4970683118725428,FALSE,0,303,Biden: 303 EV
0.528,Biden,GA,0.45407534224453944,FALSE,0,303,Biden: 303 EV
0.528,Biden,HI,0.657078151120353,TRUE,4,303,Biden: 303 EV
0.528,Biden,IA,0.5112337986366643,TRUE,6,303,Biden: 303 EV
0.528,Biden,ID,0.35934388098213416,FALSE,0,303,Biden: 303 EV
0.528,Biden,IL,0.6104681137548056,TRUE,20,303,Biden: 303 EV
0.528,Biden,IN,0.4391808290863888,FALSE,0,303,Biden: 303 EV
0.528,Biden,KS,0.42879406144504656,FALSE,0,303,Biden: 303 EV
0.528,Biden,KY,0.38089854761034003,FALSE,0,303,Biden: 303 EV
0.528,Biden,LA,0.35629117872831645,FALSE,0,303,Biden: 303 EV
0.528,Biden,MA,0.6828296548637233,TRUE,11,303,Biden: 303 EV
0.528,Biden,MD,0.6443896994928181,TRUE,10,303,Biden: 303 EV
